Compound,CAS,Frequency_Factor
Photomirex,39801-14-4,0.00171112229491696
"D-Glucopyranose, pentakis(3,4,5-trihydroxybenzoate)",40410-94-4,0.128721804511278
"1,2,3,4-Tetrabromo-5-(3,4-dibromophenoxy)benzene",405237-85-6,0.0918317075573948
"1,2,3,4,5-Pentabromo-6-(2,5-dibromophenoxy)benzene",405237-86-7,0.192878635907723
"1,2,3,4,5-Pentabromo-6-(3,5-dibromophenoxy)benzene",407578-53-4,0.231166253101737
"1,3-Dibromo-5-(4-bromophenoxy)benzene",407606-57-9,0.00181341930284102
7H-Perfluoroheptanoyl chloride,41405-35-0,0.0143827407111466
"2,2',3,6'-Tetrachlorobiphenyl",41464-47-5,0.000502916918125126
"1,2,4-Tribromo-5-(3,5-dibromophenoxy)benzene",417727-71-0,0.041948310139165
Ethyl phenyl sulfate,41795-33-9,0.0001998001998002
"1,1,1-Trifluoroethane",420-46-2,0.000100070049034324
5:1 Fluorotelomer alcohol,423-46-1,0.0006000600060006
"1,8-Dinitropyrene",42397-65-9,9.97904400758407e-05
"2,2',3,3',4,5,5',6,6'-nonabromodiphenyl ether",437701-78-5,0.655500495540139
BDE-207,437701-79-6,0.609005930244246
Protriptyline,438-60-8,0.0012202562538133
"Phenol, 4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-",4430-25-5,0.19005076142132
BDE-22,446254-15-5,0.000398446060364578
BDE-23,446254-16-6,0.000404776361060514
BDE-34,446254-17-7,0.00111223458038423
BDE-42,446254-18-8,0.00653271305552806
BDE-43,446254-19-9,0.00397732922342647
BDE-44,446254-20-2,0.00643604183427192
BDE-45,446254-21-3,0.00275862068965517
BDE-46,446254-22-4,0.00239162929745889
BDE-50,446254-23-5,0.00331059390048154
BDE-53,446254-25-7,0.00581570239647047
"1,2,3-Tribromo-4-(3-bromophenoxy)benzene",446254-27-9,0.00490785256410256
BDE-58,446254-29-1,0.0113693530536271
BDE-59,446254-30-4,0.00327445921809883
BDE-60,446254-31-5,0.00649740103958417
BDE-61,446254-32-6,0.00336967294350842
BDE-62,446254-33-7,0.00263852242744063
BDE-63,446254-34-8,0.00897448825249571
BDE-64,446254-35-9,0.0043995600439956
BDE-65,446254-36-0,0.00333670374115268
BDE-67,446254-37-1,0.00963468486551586
"2,4-Dibromo-1-(3,5-dibromophenoxy)benzene",446254-38-2,0.0118497690299257
BDE-73,446254-41-7,0.00674451379102074
BDE-74,446254-42-8,0.00920276082824847
BDE-76,446254-43-9,0.00460414372935642
BDE-78,446254-45-1,0.00841187797709537
BDE-86,446254-53-1,0.0213124504361618
BDE-87,446254-54-2,0.0374494924608259
BDE-88,446254-55-3,0.0253214638971316
BDE-89,446254-56-4,0.026031237484982
"1,2,5-Tribromo-3-(2,4-dibromophenoxy)benzene",446254-57-5,0.0406496062992126
BDE-91,446254-58-6,0.0351392405063291
BDE-92,446254-59-7,0.0580187737167965
"1,2,4,5-Tetrabromo-3-(2-bromophenoxy)benzene",446254-60-0,0.0112211888394662
BDE-94,446254-61-1,0.0284102357445094
BDE-102,446254-66-6,0.0324302946410916
BDE-103,446254-67-7,0.0444108761329305
BDE-104,446254-68-8,0.0258175559380379
BDE-106,446254-69-9,0.0360642885143081
BDE-108,446254-71-3,0.0585724213243324
BDE-109,446254-72-4,0.0300812192920886
BDE-111,446254-74-6,0.0639815186822017
BDE-114,446254-77-9,0.0365087281795511
BDE-115,446254-78-0,0.0347257171615501
BDE-117,446254-79-1,0.0387777890569485
BDE-121,446254-81-5,0.0626254516258531
BDE-122,446254-82-6,0.0471029173419773
BDE-123,446254-83-7,0.0595821253623913
BDE-124,446254-84-8,0.053942327082073
BDE-125,446254-85-9,0.0389362769693929
BDE-127,446254-86-0,0.0745649534601376
BDE-129,446254-87-1,0.106325301204819
"1,2,3-Tribromo-4-(2,3,5-tribromophenoxy)benzene",446254-88-2,0.148985565761583
BDE-131,446254-89-3,0.106939020726945
BDE-135,446254-93-9,0.116026543334004
BDE-137,446254-95-1,0.130434782608696
"1,2,3,5-Tetrabromo-4-(2,4-dibromophenoxy)benzene",446254-96-2,0.065178213856628
BDE-141,446254-97-3,0.157748436414177
BDE-143,446254-99-5,0.0969886191962937
BDE-144,446255-00-1,0.119438638399522
BDE-145,446255-01-2,0.0904126213592233
BDE-146,446255-02-3,0.166716522085951
BDE-148,446255-03-4,0.146020347097546
BDE-150,446255-05-6,0.100999899000101
BDE-151,446255-06-7,0.134196117471379
BDE-157,446255-08-9,0.133214037180634
BDE-158,446255-09-0,0.133712234519892
BDE-160,446255-11-4,0.0913169175555777
BDE-161,446255-12-5,0.142602318898028
BDE-162,446255-13-6,0.148885111488851
BDE-165,446255-16-9,0.155982690953004
BDE-167,446255-17-0,0.171637309847878
BDE-171,446255-19-2,0.218346384623208
BDE-180,446255-26-1,0.286251015434606
"1,2,3,5-Tetrabromo-4-(3,4,5-tribromophenoxy)benzene",446255-30-7,0.206330365974283
PBDE 195,446255-38-5,0.139310483465675
BDE-196,446255-39-6,0.355446927374302
BDE-198,446255-42-1,0.439629408248655
BDE-199,446255-43-2,0.453067331670823
BDE-200,446255-46-5,0.392609470972855
BDE-201,446255-50-1,0.403686449260685
"2,2',3,4,4',5,6,6'-Octabromodiphenyl ether",446255-54-5,0.34261220373172
PBDE 205,446255-56-7,0.162648221343874
"N,N'-Bis[2-hydroxy-5-(trifluoromethyl)phenyl]urea",448895-37-2,0.000300932891965092
2-(Trifluoromethoxy)chlorobenzene,450-96-4,0.00251205787781351
Diethoxymethane,462-95-3,9.97506234413965e-05
"Benzenesulfonamide, N,N-dichloro-4-methyl-",473-34-7,0.000103050288540808
Funiculosin (anthraquinone),476-56-2,0.00345167652859961
"Ethanone, 1-(2,5-dihydroxyphenyl)-",490-78-8,9.97506234413965e-05
1H-2-Benzopyran-1-one,491-31-6,9.9930048965724e-05
1-(2-Chloroethyl)pyrrolidine,5050-41-9,0.000504133897963299
cis-Chlordane,5103-71-9,0.000200260338439972
trans-Chlordane,5103-74-2,0.000199084212621939
Canthaxanthin,514-78-3,0.785315324464304
"7,8-Dibromo-1,2,3,4,11,11-hexachloro-1,4,4a,5,6,7,8,9,10,10a-decahydro-1,4-methanobenzocyclooctene",51936-55-1,0.00138067061143984
BDE-168,53551-87-4,0.153775883069428
Octyl hydrogen phthalate,5393-19-1,0.00847204226054022
3-(Trifluoromethyl)-o-toluidine,54396-44-0,0.0146341463414634
"1,2,3-Trichlorodibenzo-p-dioxin",54536-17-3,0.000304136253041363
1-Methoxyindole,54698-11-2,0.00361772686162195
Thymol iodide,552-22-7,0.032545563789305
C.I. Disperse Orange 61,55281-26-0,0.0169712793733682
"2,4-Dimethylpentan-3-one",565-80-0,0.0261911957288204
Chlordane,57-74-9,0.000199381916060213
"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,0.000603621730382294
"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6,9.9930048965724e-05
Closantel,57808-65-8,0.272490482869165
3-chloro-5-methylphenol,58291-77-3,0.000715015321756895
3-Pentanol,584-02-1,0.000199302441454908
"1,1-Diiodoethane",594-02-5,0.000399042298483639
"4',5'-Dibromo-3',6'-dihydroxyspiro(isobenzofuran-1(3H),9'-(9H)xanthene)-3-one",596-03-2,0.0355354864042407
"3,3',4,4',5,5'-Hexabromobiphenyl",60044-26-0,0.0116136919315403
Pentan-2-ol,6032-29-7,0.0325680186102963
